sample	tissue	type	sample_type
GTEX-WYJK-0005-SM-3NMA1	DLBC	DLBC_normal_GTEx	normal
GTEX-T5JC-0005-SM-4DM7B	DLBC	DLBC_normal_GTEx	normal
GTEX-P44H-0006-SM-2XCFB	DLBC	DLBC_normal_GTEx	normal
GTEX-S95S-0002-SM-3NM8K	DLBC	DLBC_normal_GTEx	normal
GTEX-ZTTD-0001-SM-4YCD5	DLBC	DLBC_normal_GTEx	normal
GTEX-WRHK-0001-SM-4WWDD	DLBC	DLBC_normal_GTEx	normal
GTEX-1269C-0003-SM-5S2PB	DLBC	DLBC_normal_GTEx	normal
GTEX-1399R-0006-SM-5N9FR	DLBC	DLBC_normal_GTEx	normal
GTEX-TMZS-0001-SM-3P61Q	DLBC	DLBC_normal_GTEx	normal
GTEX-11I78-0001-SM-5Q5BE	DLBC	DLBC_normal_GTEx	normal
GTEX-XYKS-0005-SM-4BRUD	DLBC	DLBC_normal_GTEx	normal
GTEX-XMD3-0006-SM-4AT5X	DLBC	DLBC_normal_GTEx	normal
GTEX-XUZC-0005-SM-4BOQ8	DLBC	DLBC_normal_GTEx	normal
GTEX-14BMV-0005-SM-5NQ6Y	DLBC	DLBC_normal_GTEx	normal
GTEX-QVUS-0006-SM-3GAE8	DLBC	DLBC_normal_GTEx	normal
GTEX-R55D-0006-SM-3GIJS	DLBC	DLBC_normal_GTEx	normal
GTEX-RWS6-0005-SM-2XCAN	DLBC	DLBC_normal_GTEx	normal
GTEX-RVPU-0005-SM-2TF6L	DLBC	DLBC_normal_GTEx	normal
GTEX-Y8LW-0005-SM-4V6EV	DLBC	DLBC_normal_GTEx	normal
GTEX-Z93S-0005-SM-4RGLW	DLBC	DLBC_normal_GTEx	normal
GTEX-ZG7Y-0006-SM-4WWEA	DLBC	DLBC_normal_GTEx	normal
GTEX-YB5K-0005-SM-4VDSP	DLBC	DLBC_normal_GTEx	normal
GTEX-12126-0006-SM-5O9B8	DLBC	DLBC_normal_GTEx	normal
GTEX-148VI-0006-SM-5O9A6	DLBC	DLBC_normal_GTEx	normal
GTEX-X638-0005-SM-47JX6	DLBC	DLBC_normal_GTEx	normal
GTEX-WFJO-0002-SM-3P61X	DLBC	DLBC_normal_GTEx	normal
GTEX-XBEW-0002-SM-4AT5O	DLBC	DLBC_normal_GTEx	normal
GTEX-ZTTD-0006-SM-51MSJ	DLBC	DLBC_normal_GTEx	normal
GTEX-U3ZG-0006-SM-47JWX	DLBC	DLBC_normal_GTEx	normal
GTEX-T5JC-0005-SM-5S2SQ	DLBC	DLBC_normal_GTEx	normal
GTEX-S95S-0005-SM-2XCEC	DLBC	DLBC_normal_GTEx	normal
GTEX-P4QR-0006-SM-2I5GN	DLBC	DLBC_normal_GTEx	normal
GTEX-1269C-0005-SM-5N9CJ	DLBC	DLBC_normal_GTEx	normal
GTEX-WYVS-0004-SM-4ONDT	DLBC	DLBC_normal_GTEx	normal
GTEX-12696-0002-SM-5SI6U	DLBC	DLBC_normal_GTEx	normal
